trial_number,value,duration_sec,base_learning_rate,dice_weight,label_smoothing,weight_decay
36,0.9297257661819458,1173.218648,0.00019260829000472654,0.2722082421132956,0.09636058081546489,0.0004425538302150706
23,0.9296585917472839,597.431449,0.00020826300860305797,0.3802281450995217,0.11124359390823149,0.09422480958512011
38,0.9296369552612305,1219.732597,0.000291707795824506,0.2525328055938977,0.01987222199299395,0.00019931971340104898
60,0.9295675754547119,1222.941466,0.00013936623916401084,0.2703017095522443,0.0849254545595726,0.00014767825496467705
22,0.9294028282165527,779.718878,0.00015720503394616602,0.2854671819790452,0.04479504019140249,0.01405606085858351
32,0.9293863773345947,597.335753,0.0001723370135375834,0.31616839556445236,0.09045086425479577,0.0674346827889923
45,0.929206907749176,1219.843379,0.000241206204096882,0.5401342387250876,0.07510138341227221,0.00019710876368143147
16,0.9290217161178589,596.968595,0.00018163441765290644,0.3157014217104537,0.09045622542860997,0.08994586389007649
17,0.928939700126648,594.686556,0.00017240010298294638,0.29854184177858445,0.0904501091495531,0.09354802940496881
54,0.9289065599441528,1229.045652,0.00022650821102790969,0.548004865252137,0.09970703308757009,0.00017405316470655175
