trial_number,value,duration_sec,base_learning_rate,dice_weight,label_smoothing,weight_decay
8,0.929489016532898,474.824733,0.0001609168550315194,0.544243948690939,0.02779253484004518,0.09880278677033216
23,0.9293080568313599,1002.440634,0.00015337960875577656,0.481058388155608,0.1133683699873296,0.04047216897557406
53,0.9292920827865601,475.805265,0.00014307856243725247,0.4528158418165378,0.16040098882381557,0.008427314917083607
33,0.92919921875,475.526548,0.00011755578406030652,0.3019411064153437,0.16201377965940192,0.008371768539561102
43,0.929128110408783,474.687154,0.00012576617465272964,0.2868266788510515,0.14226843688674673,0.008306868394949336
50,0.9290986657142639,474.330263,0.000110420538450574,0.5156565050111637,0.17788398274136782,0.008686994622082406
20,0.9290086030960083,996.274564,0.00013593456912305786,0.44677573288861544,0.08097853721126941,0.04382696534133219
25,0.9288600087165833,980.464106,0.00013756070713287475,0.31057383790844506,0.15097282261413392,0.007186275156124829
54,0.928841233253479,474.429147,0.0002872846430371693,0.4021925721322272,0.16036079639385314,0.0034600245760549996
41,0.9287605285644531,475.820671,9.914806987614264e-05,0.25667258238738644,0.1597266276035855,0.022120714559653355
