trial_number,value,duration_sec,base_learning_rate,dice_weight,label_smoothing,weight_decay
32,0.9323577284812927,1913.548097,9.624625817069316e-05,0.5087600372173953,0.0055310038964485175,1.0217679881970903e-05
41,0.9321929216384888,853.324178,0.00011946990776499728,0.5459868858432699,0.0016774710861988287,6.853991980392e-05
56,0.9320366382598877,851.781524,0.00012105151085198824,0.409762600096209,0.0596287606272162,0.09871577115846378
18,0.931865930557251,1914.046733,0.0001792852157924556,0.5695763395719053,0.000934566399205727,1.4884543973320834e-05
20,0.9317972660064697,1916.652903,0.00022574102021621762,0.23551607163490057,0.0898624587600813,0.00029386399214570316
57,0.9317480325698853,852.156989,0.00014272957589747348,0.21300245850382754,0.06025636046500072,0.010753448890591275
12,0.9317073225975037,1901.138982,0.00012469568399936523,0.1767737986895675,0.07459972747378868,4.8812829016242345e-05
43,0.9316555261611938,853.028308,8.901349533295752e-05,0.47663755900252797,0.03410367351016482,1.8673554204135443e-05
15,0.9315906763076782,1898.568657,0.00012488507928356193,0.5597799429414315,0.0013691769868990067,6.487163340620412e-05
54,0.9315595626831055,852.157516,4.880300625521442e-05,0.04204985698793845,0.021660543725172128,3.468209550659905e-05
