trial_number,state,value,proxy_value,n_params,duration_sec,base_learning_rate,weight_decay,label_smoothing,dice_weight
0,COMPLETE,0.8980257511138916,0.8980257511138916,4,1570.826781,0.0023354667776830955,0.004159725054717741,0.10812093593415935,0.668253844562205
1,COMPLETE,0.910784125328064,0.910784125328064,4,1927.920854,0.0017790940596910856,0.002069491160720492,0.11793098356764387,0.3894938907297759
2,COMPLETE,0.9283664226531982,0.9283664226531982,4,1907.117975,1.2621287077085096e-05,0.008094099287301497,0.07458210474104372,0.012187949730260161
3,COMPLETE,0.9292864799499512,0.9292864799499512,4,1914.084251,1.6511316721769564e-05,0.0006076603993283529,0.1832903792373167,0.43534670120323016
4,PRUNED,,0.926270604133606,4,1003.079124,3.284907087631714e-05,0.07841716775190857,0.14419156539061417,0.7747300400993262
5,PRUNED,,0.914985179901123,4,1038.3304,0.0006795967939543534,0.0030171139370475776,0.14980050666815678,0.33936115423100177
6,PRUNED,,0.9242433905601501,4,1003.65325,1.642076640277123e-05,0.003381844233500446,0.1305619699293132,0.551511238138917
7,PRUNED,,0.8924921751022339,4,1020.369855,0.0077535044106762105,0.011600043658350144,0.1702463766676849,0.16568066858348585
8,PRUNED,,0.8796289563179016,4,1018.790574,0.0059038543406934015,0.004119719318846041,0.025229950504556033,0.29051840195432066
9,COMPLETE,0.9309053421020508,0.9309053421020508,4,1911.869064,4.315090312537063e-05,3.0786176471423655e-05,0.09303593588736181,0.3142639916815124
10,PRUNED,,0.9233745336532593,4,1019.618302,8.747515340289604e-05,1.2184453443025187e-05,0.06536212807871783,0.9644783066846312
11,COMPLETE,0.9314618706703186,0.9314618706703186,4,1913.113218,0.0001150412327066727,8.91323308533402e-05,0.1976378269907383,0.4920546309241415
12,COMPLETE,0.9317073225975037,0.9317073225975037,4,1901.138982,0.00012469568399936523,4.8812829016242345e-05,0.07459972747378868,0.1767737986895675
13,PRUNED,,0.9257627725601196,4,1037.071852,0.00018753427562881466,0.00011848887728865425,0.028506456818963855,0.0007716648060180353
14,PRUNED,,0.9209442734718323,4,1017.720396,0.00030678895062117087,0.0001799475235774818,0.19738760755792956,0.15800940383997
15,COMPLETE,0.9315906763076782,0.9315906763076782,4,1898.568657,0.00012488507928356193,6.487163340620412e-05,0.0013691769868990067,0.5597799429414315
16,PRUNED,,0.9191935062408447,4,1018.773399,0.000533058860266136,0.00046320395639849846,0.05368930983200278,0.6714703125459844
17,COMPLETE,0.9314192533493042,0.9314192533493042,4,1901.052073,5.9869858225364736e-05,3.0293154038790163e-05,0.00627457504120044,0.17374472093952303
18,COMPLETE,0.931865930557251,0.931865930557251,4,1914.046733,0.0001792852157924556,1.4884543973320834e-05,0.000934566399205727,0.5695763395719053
19,PRUNED,,0.9206305742263794,4,1018.422732,0.0006880702447208267,1.2021179944503553e-05,0.03405332176860431,0.8623695292763447
20,COMPLETE,0.9317972660064697,0.9317972660064697,4,1916.652903,0.00022574102021621762,0.00029386399214570316,0.0898624587600813,0.23551607163490057
21,PRUNED,,0.9150192141532898,4,1001.810744,0.00025730800534768506,0.000280909175955878,0.08633563818572781,0.2577720620806039
22,PRUNED,,0.9247411489486694,4,1020.396179,0.0004245460201395569,2.500700520793912e-05,0.05220586084551176,0.09538054125673184
23,PRUNED,,0.9049882292747498,4,1023.932058,0.0013499206204872379,6.021292724611782e-05,0.07775506612978934,0.6432962451508633
24,PRUNED,,0.9258105158805847,4,1019.826612,0.00017393344426561014,0.0010689386772683995,0.049142530212361916,0.24112183988039168
25,PRUNED,,0.9250364899635315,4,1006.94618,6.250928996800606e-05,0.0002244781647388445,0.10407296770029469,0.4381374989892317
26,PRUNED,,0.9153110980987549,4,1019.489603,0.0010650689578970282,1.9854655634900337e-05,0.12247909257482599,0.10874806848536103
27,COMPLETE,0.9295527935028076,0.9295527935028076,4,1916.066682,2.7010529412343426e-05,4.76427974508165e-05,0.06866018431355816,0.761872047884687
28,PRUNED,,0.9201985597610474,4,1005.204904,0.00018616473447120098,0.0001271485645574503,0.014286236216718498,0.36948460147936724
29,PRUNED,,0.8996923565864563,4,1022.263641,0.003033478395340699,0.0003915710480021523,0.10363194160958612,0.6211980754623732
30,COMPLETE,0.9315447807312012,0.9315447807312012,4,1898.305205,0.0003760365655242709,0.0010392245443925114,0.04185683844124118,0.24308949289107462
31,PRUNED,,0.9225572347640991,4,1022.499267,0.00012103939553849961,5.523956998768311e-05,0.011819256709065456,0.561322636183532
32,COMPLETE,0.9323577284812927,0.9323577284812927,4,1913.548097,9.624625817069316e-05,1.0217679881970903e-05,0.0055310038964485175,0.5087600372173953
33,PRUNED,,0.9187747240066528,4,1017.886092,8.498612327291317e-05,1.0862141922899277e-05,0.017864878355476385,0.4471077190665508
34,PRUNED,,0.9257164001464844,4,1022.211976,0.0002484742084205896,1.6837315319332495e-05,0.08309347662966636,0.49718722805425464
35,COMPLETE,0.9307209253311157,0.9307209253311157,4,1881.88047,4.244853924213745e-05,3.445113588483111e-05,0.11142818458849732,0.39759761212325534
36,COMPLETE,0.9310998916625977,0.9310998916625977,4,1146.222762,7.565444298185892e-05,1.7666601813808772e-05,0.06193530324299645,0.7044016917351489
37,COMPLETE,0.9312418103218079,0.9312418103218079,4,852.386943,0.000159111621557638,0.027297929748348656,0.041235484605290515,0.05738940670825815
38,PRUNED,,0.926015317440033,4,455.425277,2.9266809705989558e-05,0.001609520239691913,0.154266707680357,0.580681523509693
39,PRUNED,,0.9242184162139893,4,456.09447,0.0007870400062503625,3.8166190210772446e-05,0.023457694448423272,0.20017502488589134
40,PRUNED,,0.9216151237487793,4,457.02094,4.4544106661277425e-05,8.319469832959577e-05,0.13561359787210084,0.3521187894634708
41,COMPLETE,0.9321929216384888,0.9321929216384888,4,853.324178,0.00011946990776499728,6.853991980392e-05,0.0016774710861988287,0.5459868858432699
42,PRUNED,,0.9233303070068359,4,455.576514,0.00024382708902554023,0.0001533362246359825,0.0018513720918955229,0.5235905072088296
43,COMPLETE,0.9316555261611938,0.9316555261611938,4,853.028308,8.901349533295752e-05,1.8673554204135443e-05,0.03410367351016482,0.47663755900252797
44,PRUNED,,0.9266176819801331,4,455.758258,0.00014667710808395707,8.90398408443679e-05,0.09308141690870503,0.6098852957121327
45,PRUNED,,0.9264111518859863,4,456.66316,0.00010488965383825497,0.0005867341948502979,0.011668691851194346,0.705076888666296
46,PRUNED,,0.9255157709121704,4,456.685848,2.060785830251891e-05,2.517511975037833e-05,0.01902691407498975,0.3967873188025097
47,PRUNED,,0.9247120022773743,4,456.494864,0.0004887793294006969,1.0287293510246208e-05,0.0009821516152246908,0.5352064139794279
48,PRUNED,,0.9253374338150024,4,455.984153,6.1869342423618e-05,0.0002783963141984705,0.11572260491293852,0.8098384631624478
49,PRUNED,,0.9262408018112183,4,456.605584,1.0523333474477333e-05,4.9116797105098393e-05,0.09436493295715065,0.30341366632624334
50,COMPLETE,0.9314868450164795,0.9314868450164795,4,852.3519,0.00021018716634586677,0.00011804994486329898,0.02824041543186389,0.4651867004821741
51,PRUNED,,0.9240105152130127,4,455.391431,8.996458626923447e-05,1.6225176350910987e-05,0.039185250146899275,0.47740942002806547
52,PRUNED,,0.925125002861023,4,457.192408,0.0003121157978935551,2.3099755788303378e-05,0.00908712265526073,0.5957192806067232
53,COMPLETE,0.931401252746582,0.931401252746582,4,853.47211,0.00012503213930991123,1.5192552283565371e-05,0.03413220457214067,0.12814348467581244
