trial_number,state,value,proxy_value,n_params,duration_sec,base_learning_rate,weight_decay,label_smoothing,dice_weight
0,COMPLETE,0.9264150857925415,0.9264150857925415,4,1999.012578,0.0002797961296318186,0.008152270029069044,0.18943845182570376,0.9728794227272044
1,COMPLETE,0.9221978187561035,0.9221978187561035,4,1996.224095,0.0035175312197188507,0.01499701325046206,0.04979413600511984,0.790349900520612
2,FAIL,,0.9189846515655518,4,263746.71572,0.00018362052545798228,0.0014689385612382448,0.05735134576818535,0.2897499643713555
3,PRUNED,,0.908807098865509,4,1031.015964,0.005264637225826293,0.0006783653531513705,0.05320811610742293,0.6055183389844181
4,FAIL,,0.9284867644309998,4,259265.342928,0.00012359760555528303,0.001309536842187201,0.15491400100661423,0.3337196962950607
5,FAIL,,,4,391.452538,0.0005432480312514829,0.0898171534276224,0.13567190434077897,0.5236620901306102
6,FAIL,,,4,391.061756,5.925931834246298e-05,0.04414148440050531,0.01783851425284566,0.5058398475971397
7,PRUNED,,0.9078587293624878,4,779.029163,0.002972482023473982,0.0013901971655273272,0.10843565357402647,0.8462577115299178
8,PRUNED,,0.9155765771865845,4,777.170619,0.002905596255244537,0.018531701080995066,0.10137018742935451,0.19738286577755648
9,PRUNED,,0.9119930267333984,4,775.544274,0.00862534901573073,0.00010303922778130055,0.06784921440275092,0.4388885663483112
10,COMPLETE,0.9256701469421387,0.9256701469421387,4,1452.680351,3.429462802550781e-05,0.00010923918585005994,0.009770880064652033,0.06731765530633194
11,COMPLETE,0.9284279346466064,0.9284279346466064,4,1451.319781,7.543186991044993e-05,0.014233980228502389,0.14163165004868722,0.3682765833845314
12,COMPLETE,0.9272915124893188,0.9272915124893188,4,1561.733514,4.7684581021479416e-05,4.119301162583386e-05,0.07073072062332346,0.016443173940626554
13,COMPLETE,0.9282293319702148,0.9282293319702148,4,1566.535245,0.00029949418062560494,0.0009840090404583826,0.10942921331845373,0.6297978008356061
14,PRUNED,,0.9217227697372437,4,788.624471,1.7179990873700947e-05,0.0976427834491782,0.1643129541363109,0.35229786334646407
15,PRUNED,,0.9205945134162903,4,783.832425,0.0002246487300590451,0.0012736163663089137,0.12615757876840528,0.6040114893250158
16,COMPLETE,0.9288076162338257,0.9288076162338257,4,1451.840756,8.651896763297124e-05,0.0038918594195014,0.14628488119377525,0.2637405294368254
17,COMPLETE,0.9290661811828613,0.9290661811828613,4,1452.132265,9.073443420382154e-05,0.005443646792854399,0.15965421373310387,0.27151688298843873
18,PRUNED,,0.9176527261734009,4,772.864258,0.0007822152910587071,0.00440915938912949,0.19718028535475907,0.2297965699954806
19,PRUNED,,0.9231250882148743,4,774.474124,9.736739255761619e-05,0.08033247561616008,0.15838491354834744,0.2149876228589725
20,PRUNED,,0.919805645942688,4,854.753471,1.0183334215949347e-05,0.0028457442736376406,0.17212970404653866,0.29321996313948206
21,PRUNED,,0.9121931791305542,4,793.109205,0.0009780373898510795,0.0002131494842919362,0.13770472601642927,0.1341163671197979
22,COMPLETE,0.9285707473754883,0.9285707473754883,4,1501.099835,0.00012745785590186868,0.03307270180884102,0.14588437964878118,0.48200747336905014
23,PRUNED,,0.9226951599121094,4,773.496971,2.9454360422992503e-05,0.0038006567260165432,0.1781196379455607,0.3769619519273435
24,PRUNED,,0.9208965301513672,4,777.463844,0.0007220803959944625,0.000322403022017646,0.11750846291219429,0.10973490483378368
25,PRUNED,,0.9194949865341187,4,862.014469,0.00014640724357302306,0.0369426865560308,0.1538251973144943,0.5221204492348486
26,COMPLETE,0.9281830787658691,0.9281830787658691,4,1505.518477,8.25880292679775e-05,0.02698744249188038,0.13871657478260851,0.5185555881000257
27,COMPLETE,0.9295700788497925,0.9295700788497925,4,1449.529937,0.00016508959703748793,0.009084685766721935,0.14941767906438616,0.3213002225994606
28,PRUNED,,0.9223594665527344,4,773.252643,6.356844546638684e-05,0.006063624825330063,0.0898647455764351,0.27727908354822145
29,PRUNED,,0.9200648069381714,4,867.769383,0.0005241488317741256,0.0017987034764652176,0.17974548911124627,0.3300573287638156
30,COMPLETE,0.929215669631958,0.929215669631958,4,1493.79478,0.0001471428588058656,0.008485063359929332,0.12493401221516179,0.14155819048898882
31,COMPLETE,0.9294998049736023,0.9294998049736023,4,1448.347981,0.0001723488132131765,0.0066530388922083905,0.1267436583761156,0.14162750035627003
32,COMPLETE,0.9292370676994324,0.9292370676994324,4,1447.532593,0.00017550756885802176,1.4925347948787682e-05,0.08898068908390713,0.15713956724436132
33,PRUNED,,0.9227255582809448,4,772.712501,0.00036047081486642965,1.0715275624478195e-05,0.09355230719461373,0.004237401660393159
34,PRUNED,,0.9188035130500793,4,773.3202,0.0003961598908452941,1.7079422677328102e-05,0.0778464370012105,0.16872040763786172
35,PRUNED,,0.9216023683547974,4,775.763541,0.0001696004811018557,0.007735410580770602,0.12673059576259052,0.1276471514101676
36,COMPLETE,0.9294754266738892,0.9294754266738892,4,1457.091094,0.0001924899723406844,0.010728260236679742,0.12643435896427935,0.06018629495839095
37,COMPLETE,0.9277809858322144,0.9277809858322144,4,1451.747504,0.0002282509539999611,0.011456423699687144,0.025268054801464185,0.05371192809830079
38,PRUNED,,0.9235426187515259,4,786.782184,0.00022856344201174745,0.0005475903065861044,0.050202045066184094,0.07142641139296974
39,PRUNED,,0.9079494476318359,4,775.32076,0.001225754674218698,0.001972010145705917,0.08670092482558255,0.9889709123380644
40,PRUNED,,0.9143542051315308,4,809.221543,0.001972349706336749,0.04698319842959923,0.10320070518660444,0.18439759715920828
41,PRUNED,,0.9187201857566833,4,782.112029,0.0004304530980664135,0.012702851069136304,0.11228964144055326,0.8323012923830566
42,COMPLETE,0.9263930320739746,0.9263930320739746,4,1516.953908,4.2797200656437026e-05,0.021257626719843593,0.06327985523182737,0.0882402493967015
43,PRUNED,,0.9198570251464844,4,773.39873,0.0005224761798647687,4.1379267651498334e-05,0.11897547906829214,0.21259671485435383
44,PRUNED,,0.9227457046508789,4,774.427476,0.0001891105368955487,0.0005216552892093633,0.13081138924289917,0.4319376005046348
45,PRUNED,,0.9222253561019897,4,771.502863,0.00013881998273729222,0.010083512845546285,0.0988830028424745,0.14262548197828867
46,PRUNED,,0.9207021594047546,4,771.354222,0.00011934514883952246,0.0025062912050131956,0.13141033269508856,0.024604655564718678
47,COMPLETE,0.9292895793914795,0.9292895793914795,4,1447.312969,0.00022047131879983993,0.019149779512889882,0.12081929626972004,0.16538150666307438
48,COMPLETE,0.9280534982681274,0.9280534982681274,4,1446.185543,6.018561065988547e-05,0.053448893118638506,0.11464898615019103,0.06138860627296379
49,PRUNED,,0.9224601984024048,4,771.079541,0.0002644866309511488,0.01858612296160753,0.08382135097862822,0.31263719745200413
50,PRUNED,,0.9172112941741943,4,771.705925,0.00032920186305607674,0.01671230782795089,0.03803938106596649,0.24832358979459068
51,PRUNED,,0.9228366017341614,4,771.603382,0.00018246783108781067,0.0009272151555824057,0.15093555284079635,0.17817693332871654
52,COMPLETE,0.9291284084320068,0.9291284084320068,4,1445.680334,0.00010688452358367433,5.38333396988558e-05,0.10413851533658333,0.4065061742074398
53,PRUNED,,0.9108695983886719,4,770.987779,0.0005620102528627838,0.0065628818762927706,0.1673813180437809,0.9186000515199381
54,PRUNED,,0.9010951519012451,4,771.813683,0.005990660715137349,0.06224951375269477,0.1380002150909441,0.6676106265319677
55,COMPLETE,0.9294092655181885,0.9294092655181885,4,1445.14748,0.0003001526415845062,0.008879341179178607,0.12468272793648884,0.15652602256146939
56,COMPLETE,0.929207444190979,0.929207444190979,4,1446.252451,0.0002562342057855226,0.025753306424855064,0.12105480784556942,0.10112320172597186
57,PRUNED,,0.9220008254051208,4,771.107514,0.0002981718560157665,0.004565251921660791,0.10788771751924843,0.22525700173485982
58,PRUNED,,0.9223655462265015,4,772.243585,0.00016418778976489418,0.0030848991238664465,0.09867275070622522,0.1642652212671861
59,PRUNED,,0.9219658970832825,4,772.422784,6.366461445070327e-05,0.013616853651445214,0.14332645338553332,0.10449500278189847
60,PRUNED,,0.9228049516677856,4,771.565359,0.00019200613298770198,0.00011951927483747846,0.13466102078333694,0.02523049119561338
61,COMPLETE,0.929231584072113,0.929231584072113,4,1445.894929,0.00010514820087941541,0.007704343446460385,0.15105007564800155,0.24825436503510317
62,PRUNED,,0.9217545390129089,4,771.560174,2.7580668526995495e-05,0.02922349541760655,0.06243783704290501,0.3465240186941258
63,PRUNED,,0.917352557182312,4,771.40491,0.0004221804526603387,0.005439895267190787,0.16172150152225637,0.29619799959538834
