trial_number,value,duration_sec,base_learning_rate,dice_weight,label_smoothing,weight_decay
27,0.9295700788497925,1449.529937,0.00016508959703748793,0.3213002225994606,0.14941767906438616,0.009084685766721935
31,0.9294998049736023,1448.347981,0.0001723488132131765,0.14162750035627003,0.1267436583761156,0.0066530388922083905
36,0.9294754266738892,1457.091094,0.0001924899723406844,0.06018629495839095,0.12643435896427935,0.010728260236679742
55,0.9294092655181885,1445.14748,0.0003001526415845062,0.15652602256146939,0.12468272793648884,0.008879341179178607
47,0.9292895793914795,1447.312969,0.00022047131879983993,0.16538150666307438,0.12081929626972004,0.019149779512889882
32,0.9292370676994324,1447.532593,0.00017550756885802176,0.15713956724436132,0.08898068908390713,1.4925347948787682e-05
61,0.929231584072113,1445.894929,0.00010514820087941541,0.24825436503510317,0.15105007564800155,0.007704343446460385
30,0.929215669631958,1493.79478,0.0001471428588058656,0.14155819048898882,0.12493401221516179,0.008485063359929332
56,0.929207444190979,1446.252451,0.0002562342057855226,0.10112320172597186,0.12105480784556942,0.025753306424855064
52,0.9291284084320068,1445.680334,0.00010688452358367433,0.4065061742074398,0.10413851533658333,5.38333396988558e-05
