trial_number,value,duration_sec,base_learning_rate,dice_weight,label_smoothing,weight_decay
15,0.928903341293335,1114.837458,6.035491477150511e-05,0.1710889081210728,0.1659428585414009,0.01108792430243136
53,0.9287439584732056,1116.570258,7.20668058004377e-05,0.07853506283863429,0.18854625500316574,0.0020827847472809436
32,0.928446888923645,1114.096819,4.27345561676997e-05,0.2172424769003591,0.11425695766777277,2.1086109306375425e-05
12,0.9284361600875854,1113.378067,4.256948114463419e-05,0.2059083591164019,0.007645455642429563,0.00010800872376268223
34,0.9284149408340454,1116.904745,8.015338197041488e-05,0.13739465212517613,0.14914221432948718,1.87510139690751e-05
36,0.9284119009971619,1116.958022,2.267805803862677e-05,0.23045994983181176,0.14642092909882412,4.634614926730072e-05
51,0.9283984899520874,1115.758254,7.232281175792229e-05,0.13477633038399944,0.19288086179894304,0.0037121484332224845
16,0.9283716082572937,1114.779607,8.004867335839166e-05,0.1280846251245209,0.19143110078957512,0.008539196462956306
0,0.92833411693573,1126.875577,1.777983013394755e-05,0.33580269288350895,0.0797827187258128,0.02874347220642999
54,0.9283000230789185,1114.990248,5.6664141612897595e-05,0.005463905767665089,0.17179442796360297,2.2607463918046518e-05
