trial_number,state,value,proxy_value,n_params,duration_sec,base_learning_rate,weight_decay,label_smoothing,dice_weight
0,COMPLETE,0.92833411693573,0.92833411693573,4,1126.875577,1.777983013394755e-05,0.02874347220642999,0.0797827187258128,0.33580269288350895
1,COMPLETE,0.89424729347229,0.89424729347229,4,1114.455839,0.0011957385168055302,1.4723846301270926e-05,0.10297348272165824,0.9549623572958985
2,COMPLETE,0.9278265237808228,0.9278265237808228,4,1114.137387,0.00013766616870169876,0.00011105829275918044,0.03308751481562971,0.2087862287793384
3,COMPLETE,0.9261961579322815,0.9261961579322815,4,1121.305871,0.0003020724969931469,0.0004553344278702054,0.0987320997428637,0.08966826095181635
4,PRUNED,,0.2506115138530731,4,600.563182,0.0052912174455005765,0.05350044717209787,0.1294849436381376,0.34698215338535865
5,COMPLETE,0.9268420338630676,0.9268420338630676,4,1118.690204,5.058618078253921e-05,0.0002496036081516663,0.053599211858969015,0.9271891716552243
6,PRUNED,,0.2506115138530731,4,598.308691,0.0018350704272422557,0.0726729294455763,0.046437899394083874,0.6319307616695276
7,PRUNED,,0.89897620677948,4,593.0718,0.0003828024978014981,0.08715330516732278,0.12240556493181563,0.005062648681988247
8,PRUNED,,0.2506115138530731,4,601.235827,0.004014937746344011,0.016905718344188716,0.1035051848635425,0.36307260996080115
9,COMPLETE,0.9275951385498047,0.9275951385498047,4,1106.375356,0.00010772824443619734,0.0033962962637849895,0.0431842822788757,0.011081439592496856
10,PRUNED,,0.9199635982513428,4,598.913794,1.0363631550286662e-05,0.0033019077077277256,0.17891436943216202,0.6396679145923192
11,COMPLETE,0.9270509481430054,0.9270509481430054,4,1116.369275,1.1895597142449847e-05,6.252917262519181e-05,0.006828890346262294,0.25426016206296753
12,COMPLETE,0.9284361600875854,0.9284361600875854,4,1113.378067,4.256948114463419e-05,0.00010800872376268223,0.007645455642429563,0.2059083591164019
13,PRUNED,,0.9211773872375488,4,591.856465,3.178375992676017e-05,0.0014958986759211696,0.010360951641830679,0.5418636321511978
14,COMPLETE,0.9282568693161011,0.9282568693161011,4,1125.953906,3.150244482925439e-05,1.0092966452519737e-05,0.07351082130611235,0.39194624285812774
