trial_number,value,duration_sec,base_learning_rate,dice_weight,label_smoothing,weight_decay
25,0.9293918013572693,957.23024,0.0003511211778378911,0.46748409040580674,0.1298355800160782,0.005261817731139248
10,0.9291781187057495,950.345349,0.0004247064582863774,0.2580448191177515,0.15415353484950692,0.0031850722543989266
45,0.9288797378540039,449.054998,0.00018509199485491293,0.5000261201197183,0.10755996661015169,0.00012513645420349353
34,0.928790807723999,700.641535,0.0005513811793163287,0.5128905157413267,0.18676343753390792,0.0003995250011282208
42,0.9287561178207397,448.313071,0.00018810114237721744,0.5979794006156645,0.19994943600387544,0.0008708159867964983
22,0.9287506341934204,954.419089,0.00020222134537637885,0.18804723894032144,0.19975822296984752,0.0019987364663618945
23,0.9287021160125732,956.309494,0.00021938224298684102,0.47874757008760843,0.1734199527104236,0.0020158595316550486
21,0.9286125898361206,960.93857,0.00020709175912526017,0.18683234604178675,0.19865712644272582,0.0009322755486268086
49,0.9284383058547974,448.10414,0.00016061130741177828,0.513486306714937,0.1089759285568296,0.00019600327717399487
5,0.9283726215362549,951.904408,0.0007206462704313353,0.08879556651461662,0.19228696083184332,0.029846608780154334
