trial_number,value,duration_sec,base_learning_rate,dice_weight,label_smoothing,weight_decay
51,0.9337127208709717,1419.338458,0.00023468832950889273,0.1245980917337618,0.08782554173817123,0.0180783898569034
45,0.9336790442466736,1417.596092,0.0004290872172592754,0.19853980887604492,0.08728052041741986,0.001646674581794523
14,0.9335483312606812,1420.333019,0.0001728656780974832,0.022024232461914622,0.136899980459176,2.1758071215741973e-05
42,0.9334733486175537,1422.735545,9.347985711866163e-05,0.26396836502321785,0.10826450323376008,0.0027759460614524972
18,0.9333803653717041,1422.292343,0.00017256983094942433,0.10022615682201856,0.11732680917896494,6.453065334086327e-05
13,0.9333095550537109,1420.365171,0.00011209184198419754,0.012443595932833007,0.13764951492918043,1.4738747514905373e-05
12,0.9332314729690552,1420.428484,0.00010705452823588453,0.1272393317741038,0.09012131938873978,0.0890121048826105
54,0.9331474304199219,1418.90487,0.00013392114823732862,0.10009706486137146,0.07174279407065715,0.01720813313380821
27,0.9328477382659912,1422.615836,9.274571422891368e-05,0.2707663780213021,0.11799923070416769,0.0004388030518563458
16,0.9328127503395081,1421.813648,0.0002703442069836879,0.09914884955335743,0.14123921559573643,1.4914804579836568e-05
